strain	clade	q40ps	q40l	q40het	fps	fl	fhet	fdps	fdl	fdhet	lohl
CEC3544	1	84756	14247015	0.00594903564009724	69248	11381657	0.00608417561695982	68957	11346417	0.0060774251466344	900000
CEC3534	1	79056	14234197	0.00555394870536076	64581	10762601	0.0060005011799657	64438	10743063	0.00599810314805005	1600000
CEC3612	2	75760	14140956	0.00535748785301361	62073	10763742	0.00576686063266845	61844	10737097	0.00575984365233918	1500000
CEC4945	2	74631	14188799	0.00525985321238253	60160	10426320	0.00577001281372526	59668	10398084	0.00573836487568287	1800000
CEC4858	13	34912	14101748	0.00247572144956781	27423	8388419	0.00326915000311739	27366	8382043	0.00326483650823552	5600000
CEC3663	NC	80909	14200022	0.00569780807381848	64839	10009366	0.00647783286174169	63648	9899973	0.00642910844302303	2200000
CEC3623	1	78085	14243193	0.00548226791562819	63115	10378925	0.00608107294348885	62848	10355952	0.00606878054282214	2000000
CEC4493	2	61606	14183530	0.00434348853917184	47368	8595243	0.0055109553039978	46783	8558980	0.00546595505539211	3700000
CEC3600	16	88348	14216845	0.006214318296359	72474	10316205	0.00702525783463977	71096	10239289	0.00694345085874615	2000000
CEC3680	12	83831	14199520	0.00590379111406583	68434	10687096	0.00640342334344147	67414	10585456	0.00636854945124707	1500000
CEC4484	1	68172	14226601	0.00479186841607493	58238	10534862	0.00552812177321355	58003	10504647	0.0055216515128971	2500000
CEC3637	3	71904	14187331	0.00506818371968625	56578	10586999	0.00534410176103729	56149	10556555	0.00531887533385655	1600000
CEC5021	13	34808	14124670	0.00246434075981952	27076	8195605	0.00330372193389018	27052	8191987	0.00330225133413908	5800000
CEC711	4	72886	14162658	0.00514635035316111	60628	9990000	0.00606886886886887	60188	9935360	0.00605795864467921	2300000
CEC4496	1	66153	14252515	0.0046414966060376	63190	11037146	0.00572521193431708	62633	10992764	0.00569765711335202	3100000
CEC3678	1	17791	8735018	0.00203674451500844	13557	4795471	0.00282704243232834	12171	4489586	0.0027109403851491	4600000
CEC3533	9	89060	14162365	0.00628849771913095	73322	10844221	0.00676138931510156	73070	10822598	0.00675161361440201	1500000
CEC3605	1	68199	14218805	0.00479639463372625	55638	9392984	0.00592335726325095	55236	9311714	0.00593188321720362	3300000
CEC4489	1	63158	14236330	0.00443639617794755	55115	9703435	0.00567994735884767	54634	9666529	0.00565187359392394	3800000
